id,tytul,cena,cena_poprzednia,lokalizacja,data_dodania,url,status
1,iPhone 14 Pro 128GB ESim BATERIA 100% Sklep WaWa Gwarancja 12 miesięcy,1929.0,,"Warszawa, Śródmieście",09-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-esim-bateria-100-sklep-wawa-gwarancja-12-miesiecy-CID99-IDYpK85.html?search_reason=search%7Cpromoted,nowe
2,Iphone 14 256gb używany,1250.0,,"Wrocław, Fabryczna",10-05-2026,https://www.olx.pl/d/oferta/iphone-14-256gb-uzywany-CID99-ID18Kv3T.html?search_reason=search%7Cpromoted,nowe
3,JAK NOWY | IPHONE 14 PRO MAX 256GB | 2 lata gwarancji | Różne kolory,2199.0,,"Katowice, Śródmieście",10-05-2026,https://www.olx.pl/d/oferta/jak-nowy-iphone-14-pro-max-256gb-2-lata-gwarancji-rozne-kolory-CID99-ID11nivN.html?search_reason=search%7Cpromoted,nowe
4,Iphone 14 128 GB  Nowy,550.0,,"Częstochowa, Wyczerpy - Aniołów",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-nowy-CID99-ID1aAXil.html?search_reason=search%7Corganic,nowe
5,Iphone 14 pro  ok,750.0,,Wyszków,03-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-ok-CID99-ID1atxC1.html?search_reason=search%7Corganic,nowe
6,Iphone 14 128gb fioletowy,950.0,,Wodzisław Śląski,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-fioletowy-CID99-ID1aAM6b.html?search_reason=search%7Corganic,nowe
7,Telefon apple w bardzo dobrym stanie,500.0,,"Kraków, Prądnik Czerwony",10-05-2026,https://www.olx.pl/d/oferta/telefon-apple-w-bardzo-dobrym-stanie-CID99-ID17oDXr.html?search_reason=search%7Corganic,nowe
8,iPhone 14 PRO idealny,1500.0,,Rzeszów,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-idealny-CID99-ID1aAeht.html?search_reason=search%7Corganic,nowe
9,Iphone 14 256 GB,950.0,,"Wrocław, Stare Miasto",11-05-2026,https://www.olx.pl/d/oferta/iphone-14-256-gb-CID99-ID1aA8VO.html?search_reason=search%7Corganic,nowe
10,Iphone 14 128 gb stan idelany,1000.0,,"Warszawa, Targówek",11-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-stan-idelany-CID99-ID1aAsTT.html?search_reason=search%7Corganic,nowe
11,Apple iPhone 14 94% baterii,1070.0,,Łomża,30-04-2026,https://www.olx.pl/d/oferta/apple-iphone-14-94-baterii-CID99-ID19pTBN.html?search_reason=search%7Corganic,nowe
12,Apple iPhone 14 256 GB| bardzo dobry stan| gwarancja|różne kolory|eSim,1469.0,,"Warszawa, Ursus",11-05-2026,https://www.olx.pl/d/oferta/apple-iphone-14-256-gb-bardzo-dobry-stan-gwarancja-rozne-kolory-esim-CID99-ID19aviX.html?search_reason=search%7Cpromoted,nowe
13,Iphone 14 pro 1TB BATERIA 100%,2200.0,,Złotów,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-1tb-bateria-100-CID99-ID1axgTG.html?search_reason=search%7Cpromoted,nowe
14,Iphone 14 plus 128GB,1200.0,,Bydgoszcz,27-04-2026,https://www.olx.pl/d/oferta/iphone-14-plus-128gb-CID99-ID1aoBTq.html?search_reason=search%7Cpromoted,nowe
